counts	n_gram
1194	here to here
770	kill here to
450	bar here to
277	steal here to
179	kill here click
168	more more more
155	phipps here to
152	odd print psych
144	psych dock say
137	kill here kill
127	here kill here
127	ship air ship
126	write it quit
123	psych ship whale
123	print psych run
119	block here to
119	comment here to
117	kill here run
111	run here to
110	kill here write
109	psych here to
107	up up up
105	cd dockdock slaw
101	nex nex nex
97	ship mad ship
96	press lickop last
96	last last fox
95	slaw run get
85	here click pit
85	write it run
82	run get add
82	run get diff
76	run it fox
75	dockdock slaw run
75	right dock say
74	undo undo undo
74	lickop last paste
74	near pit dock
73	to here kill
73	here write it
67	chuck chuck chuck
66	air ship air
66	kit psych kit
65	passit space passit
65	dress lickop last
65	run ellis cd
62	slaw slaw slaw
62	here bar here
62	to here click
62	slaw run ellis
62	it quit it
61	uncomment here to
61	mad ship urge
60	press lickop fox
59	cd snap desktop
58	last copy last
57	ship sun ship
56	kit sit larry
54	self dock psych
53	to here ship
53	psych spamma psych
51	stack here to
51	pit kill here
51	kill til party
51	run get push
51	ship sun party
50	kit each say
50	kill here odd
50	space passit space
50	self dock say
50	pit dock say
50	get push say
49	print psych dock
49	cd dash slaw
48	push say origin
48	skate ship air
48	say exit call
47	kit til downer
47	press lickop paste
47	to here write
47	run get status
47	force quit it
47	to here rangle
47	mortar mortar mortar
46	ship near ship
46	slaw up up
45	to here sun
45	write it last
45	dock say format
45	copy last paste
45	passit slaw run
45	write it leader
44	steal here click
44	para pie block
42	die fail square
42	bang doll slaw
41	psych square sote
41	kit doll psych
41	die fail eekert
40	psych eekert psych
40	sun ship air
38	kit sit sote
38	2 right dock
38	spamma psych spamma
38	get add bang
38	til downer say
38	odd tap print
38	to here run
37	psych kit psych
37	get status run
37	to here sore
36	kip sit sote
36	triple-quote here to
36	undo kill here
36	stack here kit
36	status run get
35	to here die
35	pit ship odd
35	add bang doll
35	2 chuck ship
35	1 0 0
34	skate kill here
34	press lease press
34	skate settings no
34	quit it run
34	snap desktop slaw
33	cd snap anvio
33	to here undo
33	psych 2 right
32	square sote psych
32	sote psych 2
32	commy air copy
32	say origin master
32	to here pit
32	bar here rangle
32	ship sit tap
31	doll slaw run
31	move passit space
31	copy last edit
31	here ship sit
30	ship odd skate
30	sote psych right
30	run get pull
30	say format larry
29	settings paste sit
29	kill here bar
29	skate write it
29	right colon space
28	psych sit larry
28	chuck right chuck
28	slaw nex nex
28	here click odd
28	ship odd print
27	write it up
27	quit it vim
27	near ship trap
27	pit look trap
27	clippy here to
27	phipps doll left
27	chuck write it
27	pit whale die
27	run ellis run
26	stack here kip
26	quest whale flex
26	sun dock say
26	odd sun dock
26	settings no paste
26	pit die dock
26	last press lickop
26	til party run
26	fox Finder fox
26	sun party sit
26	space 1 0
26	say show cartoon
26	kit psych run
26	here stack here
26	psych kill here
26	skate click odd
26	lesser lesser lesser
26	doc pie slaw
26	print psych write
26	press leach chuck
26	dock trap box
25	say test tap
25	psych write it
25	1 0 tap
25	this is a
25	ship air space
25	kit doll say
25	here comment here
25	ellis cd dockdock
25	sit tap tap
25	ship air dock
25	sit spamma say
25	kip sit larry
24	right spamma sote
24	to here left
24	dock say join
24	it leader sun
24	kill here kit
24	here psych here
24	left ship sun
24	corey cap up
23	kill here undo
23	write it more
23	2 chuck chuck
23	to here yes
23	cd here run
23	write it ground
23	last dress lickop
23	to here buff
23	doll left ship
23	tap tap tap
23	phipps sit sote
23	here undo kill
23	kill here ship
23	corge run get
22	fail square sote
22	whale die slaw
22	tap print psych
22	passit harm arch
22	die sun larry
22	trap box trap
22	chuck downer say
22	last paste slaw
22	dock say shape
22	to here bar
22	space ship sun
22	spamma sote say
22	bar here pit
22	sit self dock
22	it up up
22	kit til party
22	yes yes pit
22	larry psych sit
22	colon para pie
21	up up slaw
21	psych sit sote
21	cd snap software
21	quit it slaw
21	bar hall colon
21	write it fox
21	colon space empty
21	psych dock psych
21	paste skate settings
21	tap 1 0
21	to here ruff
21	cd here cd
21	write it click
21	odd skate kill
20	psych larry psych
20	odd kill here
20	square sote say
20	kit air sote
20	empty dish right
20	kit doll print
20	fox Chrome paste
20	sit larry ship
20	right 2 chuck
20	read link passirk
20	paste kill here
20	0 tap 1
20	run get branch
20	bar here langle
20	skate pit air
20	space plus eek
20	psych here psych
20	drip drip drip
20	phipps sit larry
20	larry psych spamma
20	to here tabularize
20	die fail dock
20	skate ship mad
20	print psych ship
20	here uncomment here
19	say this is
19	stack here comment
19	to here langle
19	write it buff
19	chuck else coder
19	right chuck chuck
19	kip psych kip
19	chuck chuck ship
19	eekert pit die
19	air ship vest
19	steal sit sote
19	dash slaw run
19	air dock say
19	comment here run
19	slash title question
19	pie block skate
19	slapper print psych
19	space passit slaw
19	ruff close buff
19	kit sit lack
19	ship air party
19	linecert here to
19	write it write
18	dish right dock
18	sit chuck chuck
18	print sote say
18	Chrome go to
18	2 chuck space
18	here rangle kill
18	whale cap look
18	say test doc
18	here click ship
18	sit sote say
18	run ellis cat
18	passit show passit
18	oozey ship sit
18	chuck chuck space
18	downer ship sun
