counts	n_gram
5298	here
4607	say
4035	chuck
3846	psych
3662	run
3258	kill
2931	ship
2814	sit
2558	to
2450	fox
2388	write
2242	slaw
2219	space
2095	kit
2048	last
1823	press
1731	skate
1666	odd
1618	dock
1559	air
1358	it
1220	more
1187	2
1175	sun
1166	right
1109	paste
1108	pit
1099	sote
1008	click
925	larry
895	spamma
879	kip
825	up
824	bar
822	die
801	undo
773	cd
768	snake
765	passit
752	tap
750	commy
736	drip
732	doll
711	steal
700	downer
690	til
685	print
685	work
684	each
670	red
658	fail
633	eekert
601	box
591	lickop
568	get
565	near
564	copy
563	quit
551	dress
546	1
538	0
537	gone
530	trap
499	nex
494	para
470	cap
466	3
436	whale
432	phipps
431	colon
423	lease
414	vim
385	yes
381	self
372	lack
371	buff
357	slash
349	party
347	title
327	leach
324	left
319	mortar
310	snap
302	corge
296	square
295	star
293	comment
293	show
288	less
285	mad
281	corey
280	dash
273	stack
273	leader
271	ruff
266	ellis
264	conner
262	block
262	lesser
255	call
253	vest
243	mod
243	python
237	look
237	dockdock
221	edit
218	focus
218	4
213	cat
213	eek
210	quest
209	quote
205	arch
199	5
196	urge
194	close
188	bat
188	pie
188	go
188	passirk
187	sift
186	coder
185	drickop
183	slaughter
180	back
178	lint
165	ash
159	yell
151	6
150	down
144	trick
144	Chrome
141	slapper
138	uncomment
132	anvio
131	iTerm2
131	loop
130	rangle
127	empty
124	harm
123	trickop
123	all
116	oozey
116	import
115	dockert
114	TextEdit
113	open
113	read
109	sore
107	diff
106	tick
105	smash
105	test
104	zip
104	of
102	plus
100	return
100	our
98	hash
97	tack
96	9
94	plussert
92	clippy
92	lace
91	settings
91	jean
89	mouser
88	talon
88	add
86	flex
84	tab
84	force
82	crash
82	7
82	bang
78	a
78	remove
76	dish
76	not
76	fg
76	is
76	8
75	head
75	been
74	move
73	halls
72	ground
71	patirk
71	Finder
71	doc
70	proper
68	data
66	fourth
66	the
66	new
66	langle
66	desktop
65	and
65	exit
65	deekert
62	no
61	semi
61	righty
60	script
60	value
59	time
59	else
59	spotlight
58	ls
58	brack
57	format
57	figure
56	len
55	def
55	dashert
53	name
53	in
53	from
53	origin
52	link
52	Word
51	joe
51	push
50	redo
50	question
50	vak
50	gif
50	triple-quote
49	with
48	jury
48	this
48	status
47	make
46	me
45	true
45	brace
44	cak
43	startert
42	Slack
42	code
42	cancel
42	tilde
42	ipython
41	list
41	slashert
40	plot
38	master
38	globsore
38	out
36	lab
36	triple
36	none
36	board
35	hello
35	dunder
34	dropbox
34	sum
34	index
34	number
34	shape
33	scp
33	pass
33	amino
33	fixation
32	solvent
32	false
32	values
32	label
32	csv
32	temp
31	anvi
31	google
31	hall
30	frequency
30	mrf
30	software
30	pull
30	update
30	lankert
29	help
29	type
29	psychert
29	eye-term
29	bex
28	tex
28	columns
28	string
27	join
27	cartoon
27	percent
27	range
26	kaput
25	bartsch
25	word
25	for
25	partial
24	key
24	langlert
24	by
24	edited
24	douche
24	debug
24	exposed
24	Ray
24	variability
24	delete
24	set
23	deactivate
23	reggie
23	trip
23	tabularize
23	sample
23	unique
23	table
22	unit
22	zoom
22	frame
22	fill
22	correlation
22	buried
22	line
22	upend
21	mean
21	samples
21	my
21	pandas
20	names
20	iter
20	branch
20	pipert
20	args
20	hits
20	linecert
20	sneak
20	as
20	log
20	numb
19	items
19	counts
19	random
19	size
19	temperature
19	profile
19	class
18	feedblock
18	integer
18	on
18	backslash
18	except
18	sort
18	order
18	codon
18	SAR11
18	hashert
18	output
17	history
17	terminal
17	matrix-to-newick
17	accessibility
17	pipe
17	app
17	fly
17	bash
16	surround
16	seconds
16	enumerate
16	tail
16	andy
16	commit
16	checkout
16	phrase
15	function
15	durp
15	scripts
15	Excel
15	student
15	connert
15	global
15	movement
15	mode
15	AAST
15	chrome
15	default
15	lit
15	file
15	total
15	try
15	meren
15	tests
15	challenge
14	split
14	process
14	elif
14	sass
14	web
14	vars
14	constant
14	interactive
14	grouped
14	anvy
14	structure
13	you
13	some
13	modert
13	lines
13	histogram
13	keyfull
13	corresponding
13	keys
13	codebase
13	screencop
13	acid
13	positions
12	allele
12	or
12	nerd
12	barhally
12	input
12	slack
12	message
12	minutes
12	version
12	do
12	court
12	path
12	Alpha
12	term
12	ranglert
12	depth
11	install
11	full
11	dirk
11	manual
11	if
11	slender
11	dido
11	continue
11	service
11	iloke
11	deek
11	subset
11	assignment
11	intermediate
11	qdel
11	textedit
11	acids
11	after
11	parameters
10	raw
10	raise
